2.2	1.00082
2.316	0.999836
2.316	1.00016
2.329	1.00033
2.343	0.999672
2.352	0.998852
2.361	0.999016
2.374	0.997868
2.391	0.999016
2.415	0.994097
2.415	0.993769
2.427	0.994261
2.445	0.993442
2.461	0.992786
2.478	0.993114
2.498	0.99295
2.517	0.995573
2.535	0.996393
2.553	0.995573
2.574	0.996721
2.601	0.996557
2.627	0.993933
2.658	0.993114
2.679	0.994917
2.704	0.995409
2.738	0.996721
2.768	0.995409
2.768	0.995573
2.779	0.995409
2.814	0.995245
2.858	0.996557
2.892	0.995245
2.892	0.996393
2.903	0.997705
2.935	0.996393
2.935	0.995901
2.949	0.996557
2.998	0.995245
3.008	0.993933
3.027	0.993769
3.053	0.993114
3.078	0.99213
3.104	0.989998
3.372	0.99131
3.417	0.991474
3.465	0.991146
3.465	0.989834
3.616	0.98967
3.643	0.988687
3.654	0.988359
3.701	0.987375
3.722	0.987047
3.812	0.986883
3.892	0.986719
3.909	0.986555
3.931	0.986227
4.069	0.986719
4.081	0.986391
4.095	0.986555
4.131	0.986883
4.178	0.986555
4.213	0.986719
4.246	0.986555
4.278	0.986883
4.308	0.986555
4.341	0.986883
4.369	0.986719
4.398	0.986883
4.423	0.986555
4.45	0.986719
4.489	0.986883
4.522	0.986555
4.557	0.986719
4.595	0.986883
4.623	0.986719
4.671	0.986555
4.686	0.986719
4.704	0.986883
4.732	0.986719
4.749	0.986883
4.771	0.986719
4.79	0.986883
4.81	0.986719
4.908	0.986883
4.918	0.986719
4.942	0.986883
4.975	0.986555
4.996	0.986719
5.023	0.986555
5.04	0.986883
5.066	0.986555
5.171	0.986719
5.19	0.986883
5.28	0.986719
5.371	0.986883
5.463	0.986719
5.554	0.986883
5.645	0.986719
5.734	0.986883
5.826	0.986719
5.918	0.986883
6.011	0.986719
6.101	0.986883
6.191	0.986719
6.282	0.986883
6.373	0.986719
6.465	0.986883
6.556	0.986719
6.651	0.986883
6.743	0.986719
6.837	0.986883
6.927	0.986719
7.018	0.986883
7.109	0.986719
7.2	0.986883
7.292	0.986719
7.383	0.986883
7.474	0.986719
7.565	0.986883
7.662	0.986719
7.756	0.986883
7.847	0.986719
7.939	0.986883
8.031	0.986719
8.123	0.986883
8.215	0.986719
8.307	0.986883
8.399	0.986719
8.491	0.986883
8.589	0.986719
8.688	0.986883
8.782	0.986719
8.875	0.986883
8.966	0.986719
9.057	0.986883
9.149	0.986719
9.241	0.986883
9.332	0.986719
9.423	0.986883
9.516	0.986719
9.622	0.986883
9.723	0.986719
9.817	0.986883
9.916	0.986719
